"","Part","Tarefa","num","Frase","Tamanho","Número","escala","Gênero","Idade","Nativo","Escolar"
"74",1007,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","3","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"75",1019,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur",NA,"Feminino",20,"Sim","Ensino Superior completo ou cursando"
"76",1031,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","2","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"77",1043,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"78",1055,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","5","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"79",1067,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","3","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"80",1079,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","3","Feminino",20,"Sim","Ensino Superior completo ou cursando"
"81",1120,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","4","Feminino",41,"Sim","Pós-graduação"
"82",1132,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing","5","Feminino",41,"Sim","Pós-graduação"
"83",1144,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","5","Feminino",41,"Sim","Pós-graduação"
"84",1156,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","5","Feminino",41,"Sim","Pós-graduação"
"85",1168,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","5","Feminino",41,"Sim","Pós-graduação"
"86",1180,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur","5","Feminino",41,"Sim","Pós-graduação"
"87",1192,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","5","Feminino",41,"Sim","Pós-graduação"
"88",1204,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","5","Feminino",41,"Sim","Pós-graduação"
"89",1216,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","5","Feminino",41,"Sim","Pós-graduação"
"90",1228,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing","5","Feminino",41,"Sim","Pós-graduação"
"91",1240,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","5","Feminino",41,"Sim","Pós-graduação"
"92",1252,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","5","Feminino",41,"Sim","Pós-graduação"
"93",1264,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","5","Feminino",41,"Sim","Pós-graduação"
"94",1276,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","5","Feminino",41,"Sim","Pós-graduação"
"95",1288,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","5","Feminino",41,"Sim","Pós-graduação"
"96",1300,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","5","Feminino",41,"Sim","Pós-graduação"
"97",1334,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","4","Feminino",25,"Sim","Pós-graduação"
"98",1346,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","4","Feminino",25,"Sim","Pós-graduação"
"99",1358,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","5","Feminino",25,"Sim","Pós-graduação"
"100",1370,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","5","Feminino",25,"Sim","Pós-graduação"
"101",1382,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","1","Feminino",25,"Sim","Pós-graduação"
"102",1394,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","1","Feminino",25,"Sim","Pós-graduação"
"103",1406,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing","4","Feminino",25,"Sim","Pós-graduação"
"104",1418,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","5","Feminino",25,"Sim","Pós-graduação"
"105",1430,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","3","Feminino",25,"Sim","Pós-graduação"
"106",1442,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","3","Feminino",25,"Sim","Pós-graduação"
"107",1454,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing",NA,"Feminino",25,"Sim","Pós-graduação"
"108",1466,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur","3","Feminino",25,"Sim","Pós-graduação"
"109",1478,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","3","Feminino",25,"Sim","Pós-graduação"
"110",1490,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","3","Feminino",25,"Sim","Pós-graduação"
"111",1502,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","3","Feminino",25,"Sim","Pós-graduação"
"112",1514,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","3","Feminino",25,"Sim","Pós-graduação"
"113",1554,"experiment","26","Na bomba d'água surgiu abruptamente um barulho esquisito.","longa","sing","1","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"114",1566,"experiment","25","No hospital universitário existe no ambulatório uns equipamento moderníssimos.","longa","plur","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"115",1578,"experiment","24","No estábulo do sítio adoeceu uma vaca leiteira.","curta","sing","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"116",1590,"experiment","11","No solo adubado germinou umas sementes desconhecidas.","curta","plur","5","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"117",1602,"experiment","15","No canteiro do jardim desabrochou umas azaleias belíssimas.","curta","plur","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"118",1614,"experiment","13","No quintal da casa caiu abruptamente uns balões gigantes.","longa","plur","2","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"119",1626,"experiment","14","Na escola municipal aconteceu ontem de manhã uma reunião pedagógica.","longa","sing","5","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"120",1638,"experiment","18","Na cozinha do restaurante sumiu ontem à noite um equipamento caro.","longa","sing","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"121",1650,"experiment","17","No estádio olímpico ocorreu ontem à tarde umas competições fantásticas.","longa","plur","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"122",1662,"experiment","12","Na praça central murchou uma flor delicada.","curta","sing","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"123",1674,"experiment","20","Na secretaria da escola chegou uma encomenda inesperada.","curta","sing","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"124",1686,"experiment","16","Na pele da criança apareceu uma mancha escura.","curta","sing","5","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"125",1698,"experiment","22","No escritório da firma desapareceu sem explicação um documento sigiloso.","longa","sing","3","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"126",1710,"experiment","21","Na jardineira da janela floresceu durante a tarde umas rosas vermelhas.","longa","plur","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"127",1722,"experiment","23","No vaso da varanda brotou umas plantas desconhecidas.","curta","plur","4","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"128",1734,"experiment","19","Do estacionamento do prédio saiu uns carros importados.","curta","plur","2","Feminino",25,"Sim","Ensino Superior completo ou cursando"
"129",1767,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur",NA,"Feminino",28,"Sim","Ensino Superior completo ou cursando"
"130",1779,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"131",1791,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","3","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"132",1803,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","1","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"133",1815,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"134",1827,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","3","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"135",1839,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","3","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"136",1851,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","1","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"137",1863,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","4","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"138",1875,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"139",1887,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"140",1899,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"141",1911,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","2","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"142",1923,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","4","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"143",1935,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","4","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"144",1947,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","1","Feminino",28,"Sim","Ensino Superior completo ou cursando"
"145",1985,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"146",1997,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","3","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"147",2009,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","4","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"148",2021,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"149",2033,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"150",2045,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","4","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"151",2057,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","1","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"152",2069,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing","3","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"153",2081,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","3","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"154",2093,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","4","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"155",2105,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","1","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"156",2117,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"157",2129,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"158",2141,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing","4","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"159",2153,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","1","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"160",2165,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","2","Feminino",22,"Sim","Ensino Superior completo ou cursando"
"161",2205,"experiment","19","Do estacionamento do prédio saiu uns carros importados.","curta","plur","2","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"162",2217,"experiment","18","Na cozinha do restaurante sumiu ontem à noite um equipamento caro.","longa","sing",NA,"Masculino",24,"Sim","Ensino Superior completo ou cursando"
"163",2229,"experiment","17","No estádio olímpico ocorreu ontem à tarde umas competições fantásticas.","longa","plur","1","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"164",2241,"experiment","26","Na bomba d'água surgiu abruptamente um barulho esquisito.","longa","sing","2","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"165",2253,"experiment","22","No escritório da firma desapareceu sem explicação um documento sigiloso.","longa","sing","1","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"166",2265,"experiment","13","No quintal da casa caiu abruptamente uns balões gigantes.","longa","plur","4","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"167",2277,"experiment","14","Na escola municipal aconteceu ontem de manhã uma reunião pedagógica.","longa","sing","2","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"168",2289,"experiment","12","Na praça central murchou uma flor delicada.","curta","sing","4","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"169",2301,"experiment","24","No estábulo do sítio adoeceu uma vaca leiteira.","curta","sing","5","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"170",2313,"experiment","11","No solo adubado germinou umas sementes desconhecidas.","curta","plur","4","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"171",2325,"experiment","23","No vaso da varanda brotou umas plantas desconhecidas.","curta","plur","5","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"172",2337,"experiment","15","No canteiro do jardim desabrochou umas azaleias belíssimas.","curta","plur","1","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"173",2349,"experiment","21","Na jardineira da janela floresceu durante a tarde umas rosas vermelhas.","longa","plur","5","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"174",2361,"experiment","16","Na pele da criança apareceu uma mancha escura.","curta","sing","3","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"175",2373,"experiment","20","Na secretaria da escola chegou uma encomenda inesperada.","curta","sing","5","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"176",2385,"experiment","25","No hospital universitário existe no ambulatório uns equipamento moderníssimos.","longa","plur","4","Masculino",24,"Sim","Ensino Superior completo ou cursando"
"177",2422,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","3","Feminino",53,"Sim","Pós-graduação"
"178",2434,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","2","Feminino",53,"Sim","Pós-graduação"
"179",2446,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","4","Feminino",53,"Sim","Pós-graduação"
"180",2458,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","2","Feminino",53,"Sim","Pós-graduação"
"181",2470,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","2","Feminino",53,"Sim","Pós-graduação"
"182",2482,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","2","Feminino",53,"Sim","Pós-graduação"
"183",2494,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur",NA,"Feminino",53,"Sim","Pós-graduação"
"184",2506,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing","5","Feminino",53,"Sim","Pós-graduação"
"185",2518,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","5","Feminino",53,"Sim","Pós-graduação"
"186",2530,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","1","Feminino",53,"Sim","Pós-graduação"
"187",2542,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","3","Feminino",53,"Sim","Pós-graduação"
"188",2554,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","2","Feminino",53,"Sim","Pós-graduação"
"189",2566,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","1","Feminino",53,"Sim","Pós-graduação"
"190",2578,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","1","Feminino",53,"Sim","Pós-graduação"
"191",2590,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","4","Feminino",53,"Sim","Pós-graduação"
"192",2602,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","3","Feminino",53,"Sim","Pós-graduação"
"193",2639,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing",NA,"Masculino",38,"Sim","Pós-graduação"
"194",2651,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur","3","Masculino",38,"Sim","Pós-graduação"
"195",2663,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","4","Masculino",38,"Sim","Pós-graduação"
"196",2675,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","5","Masculino",38,"Sim","Pós-graduação"
